task,model,feature,condition,subject_id,sessions,accuracy_percent
20-c,deepnet,raw,recall,sub-014,3,11.333333333333334
20-c,deepnet,raw,recall,sub-015,3,9.333333333333334
20-c,deepnet,raw,recall,sub-016,3,10.0
20-c,deepnet,raw,recall,sub-017,3,8.0
20-c,deepnet,raw,recall,sub-018,3,10.0
20-c,deepnet,raw,recall,sub-019,3,12.0
20-c,deepnet,raw,recall,sub-020,3,11.333333333333334
20-c,deepnet,raw,watch,sub-001,3,12.0
20-c,deepnet,raw,watch,sub-002,3,12.0
20-c,deepnet,raw,watch,sub-003,3,13.333333333333334
20-c,deepnet,raw,watch,sub-004,3,10.666666666666666
20-c,deepnet,raw,watch,sub-005,3,10.666666666666666
20-c,deepnet,raw,watch,sub-006,3,9.333333333333334
20-c,deepnet,raw,watch,sub-007,3,11.333333333333334
20-c,deepnet,raw,watch,sub-008,3,11.333333333333334
20-c,deepnet,raw,watch,sub-009,3,12.0
20-c,deepnet,raw,watch,sub-010,3,10.0
20-c,deepnet,raw,watch,sub-011,3,12.666666666666666
20-c,deepnet,raw,watch,sub-012,3,11.333333333333334
20-c,deepnet,raw,watch,sub-013,3,11.333333333333334
20-c,deepnet,raw,watch,sub-014,3,10.0
20-c,deepnet,raw,watch,sub-015,3,10.0
20-c,deepnet,raw,watch,sub-016,3,11.333333333333334
20-c,deepnet,raw,watch,sub-017,3,12.0
20-c,deepnet,raw,watch,sub-018,3,10.666666666666666
20-c,deepnet,raw,watch,sub-019,3,8.0
20-c,deepnet,raw,watch,sub-020,3,12.0
20-c,eegnet,raw,recall,sub-001,3,9.333333333333334
20-c,eegnet,raw,recall,sub-002,3,8.0
20-c,eegnet,raw,recall,sub-003,3,8.666666666666666
20-c,eegnet,raw,recall,sub-004,3,8.666666666666666
20-c,eegnet,raw,recall,sub-005,3,8.0
20-c,eegnet,raw,recall,sub-006,3,8.0
20-c,eegnet,raw,recall,sub-007,3,10.0
20-c,eegnet,raw,recall,sub-008,3,10.0
20-c,eegnet,raw,recall,sub-009,3,10.666666666666666
20-c,eegnet,raw,recall,sub-010,3,11.333333333333334
20-c,eegnet,raw,recall,sub-011,3,8.666666666666666
20-c,eegnet,raw,recall,sub-012,3,10.666666666666666
20-c,eegnet,raw,recall,sub-013,3,9.333333333333334
20-c,eegnet,raw,recall,sub-014,3,8.0
20-c,eegnet,raw,recall,sub-015,3,8.666666666666666
20-c,eegnet,raw,recall,sub-016,3,10.666666666666666
20-c,eegnet,raw,recall,sub-017,3,9.333333333333334
20-c,eegnet,raw,recall,sub-018,3,14.666666666666666
20-c,eegnet,raw,recall,sub-019,3,10.666666666666666
20-c,eegnet,raw,recall,sub-020,3,9.333333333333334
20-c,eegnet,raw,watch,sub-001,3,11.333333333333334
20-c,eegnet,raw,watch,sub-002,3,11.333333333333334
20-c,eegnet,raw,watch,sub-003,3,10.666666666666666
20-c,eegnet,raw,watch,sub-004,3,12.0
20-c,eegnet,raw,watch,sub-005,3,8.666666666666666
20-c,eegnet,raw,watch,sub-006,3,11.333333333333334
20-c,eegnet,raw,watch,sub-007,3,13.333333333333334
20-c,eegnet,raw,watch,sub-008,3,8.666666666666666
20-c,eegnet,raw,watch,sub-009,3,10.0
20-c,eegnet,raw,watch,sub-010,3,8.666666666666666
20-c,eegnet,raw,watch,sub-011,3,12.666666666666666
20-c,eegnet,raw,watch,sub-012,3,11.333333333333334
20-c,eegnet,raw,watch,sub-013,3,10.0
20-c,eegnet,raw,watch,sub-014,3,9.333333333333334
20-c,eegnet,raw,watch,sub-015,3,10.666666666666666
20-c,eegnet,raw,watch,sub-016,3,9.333333333333334
20-c,eegnet,raw,watch,sub-017,3,10.0
20-c,eegnet,raw,watch,sub-018,3,9.333333333333334
20-c,eegnet,raw,watch,sub-019,3,8.666666666666666
20-c,eegnet,raw,watch,sub-020,3,12.0
20-c,glfnet,raw,recall,sub-001,3,6.0
20-c,glfnet,raw,recall,sub-002,3,10.0
20-c,glfnet,raw,recall,sub-003,3,10.0
20-c,glfnet,raw,recall,sub-004,3,11.333333333333334
20-c,glfnet,raw,recall,sub-005,3,10.666666666666666
20-c,glfnet,raw,recall,sub-006,3,9.333333333333334
20-c,glfnet,raw,recall,sub-007,3,9.333333333333334
20-c,glfnet,raw,recall,sub-008,3,9.333333333333334
20-c,glfnet,raw,recall,sub-009,3,8.666666666666666
20-c,glfnet,raw,recall,sub-010,3,9.333333333333334
20-c,glfnet,raw,recall,sub-011,3,12.666666666666666
20-c,glfnet,raw,recall,sub-012,3,8.666666666666666
20-c,glfnet,raw,recall,sub-013,3,8.666666666666666
20-c,glfnet,raw,recall,sub-014,3,7.333333333333333
20-c,glfnet,raw,recall,sub-015,3,8.0
20-c,glfnet,raw,recall,sub-016,3,10.0
20-c,glfnet,raw,recall,sub-017,3,8.0
20-c,glfnet,raw,recall,sub-018,3,8.0
20-c,glfnet,raw,recall,sub-019,3,9.333333333333334
20-c,glfnet,raw,recall,sub-020,3,8.666666666666666
20-c,glfnet,raw,watch,sub-001,3,12.0
20-c,glfnet,raw,watch,sub-002,3,14.0
20-c,glfnet,raw,watch,sub-003,3,11.333333333333334
20-c,glfnet,raw,watch,sub-004,3,9.333333333333334
20-c,glfnet,raw,watch,sub-005,3,10.666666666666666
20-c,glfnet,raw,watch,sub-006,3,8.666666666666666
20-c,glfnet,raw,watch,sub-007,3,11.333333333333334
20-c,glfnet,raw,watch,sub-008,3,12.0
20-c,glfnet,raw,watch,sub-009,3,10.0
20-c,glfnet,raw,watch,sub-010,3,16.666666666666668
20-c,glfnet,raw,watch,sub-011,3,10.666666666666666
20-c,glfnet,raw,watch,sub-012,3,10.0
20-c,glfnet,raw,watch,sub-013,3,12.0
20-c,glfnet,raw,watch,sub-014,3,12.0
20-c,glfnet,raw,watch,sub-015,3,8.666666666666666
20-c,glfnet,raw,watch,sub-016,3,12.666666666666666
20-c,glfnet,raw,watch,sub-017,3,9.333333333333334
20-c,glfnet,raw,watch,sub-018,3,9.333333333333334
20-c,glfnet,raw,watch,sub-019,3,15.333333333333334
20-c,glfnet,raw,watch,sub-020,3,15.333333333333334
20-c,glfnet_mlp,de,recall,sub-001,3,6.666666666666667
20-c,glfnet_mlp,de,recall,sub-002,3,11.333333333333334
20-c,glfnet_mlp,de,recall,sub-003,3,9.333333333333334
20-c,glfnet_mlp,de,recall,sub-004,3,9.333333333333334
20-c,glfnet_mlp,de,recall,sub-005,3,10.666666666666666
20-c,glfnet_mlp,de,recall,sub-006,3,10.0
20-c,glfnet_mlp,de,recall,sub-007,3,10.0
20-c,glfnet_mlp,de,recall,sub-008,3,8.0
20-c,glfnet_mlp,de,recall,sub-009,3,12.0
20-c,glfnet_mlp,de,recall,sub-010,3,11.333333333333334
20-c,glfnet_mlp,de,recall,sub-011,3,9.333333333333334
20-c,glfnet_mlp,de,recall,sub-012,3,12.0
20-c,glfnet_mlp,de,recall,sub-013,3,10.666666666666666
20-c,glfnet_mlp,de,recall,sub-014,3,12.0
20-c,glfnet_mlp,de,recall,sub-015,3,10.0
20-c,glfnet_mlp,de,recall,sub-016,3,8.0
20-c,glfnet_mlp,de,recall,sub-017,3,8.666666666666666
20-c,glfnet_mlp,de,recall,sub-018,3,9.333333333333334
20-c,glfnet_mlp,de,recall,sub-019,3,8.666666666666666
20-c,glfnet_mlp,de,recall,sub-020,3,10.666666666666666
20-c,glfnet_mlp,de,watch,sub-001,3,9.333333333333334
20-c,glfnet_mlp,de,watch,sub-002,3,9.333333333333334
20-c,glfnet_mlp,de,watch,sub-003,3,11.333333333333334
20-c,glfnet_mlp,de,watch,sub-004,3,11.333333333333334
20-c,glfnet_mlp,de,watch,sub-005,3,8.666666666666666
20-c,glfnet_mlp,de,watch,sub-006,3,11.333333333333334
20-c,glfnet_mlp,de,watch,sub-007,3,8.666666666666666
20-c,glfnet_mlp,de,watch,sub-008,3,12.666666666666666
20-c,glfnet_mlp,de,watch,sub-009,3,14.0
20-c,glfnet_mlp,de,watch,sub-010,3,11.333333333333334
20-c,glfnet_mlp,de,watch,sub-011,3,14.0
20-c,glfnet_mlp,de,watch,sub-012,3,11.333333333333334
20-c,glfnet_mlp,de,watch,sub-013,3,10.666666666666666
20-c,glfnet_mlp,de,watch,sub-014,3,10.666666666666666
20-c,glfnet_mlp,de,watch,sub-015,3,11.333333333333334
20-c,glfnet_mlp,de,watch,sub-016,3,10.666666666666666
20-c,glfnet_mlp,de,watch,sub-017,3,13.333333333333334
20-c,glfnet_mlp,de,watch,sub-018,3,10.0
20-c,glfnet_mlp,de,watch,sub-019,3,14.0
20-c,glfnet_mlp,de,watch,sub-020,3,11.333333333333334
20-c,glfnet_mlp,psd,recall,sub-001,3,7.333333333333333
20-c,glfnet_mlp,psd,recall,sub-002,3,8.666666666666666
20-c,glfnet_mlp,psd,recall,sub-003,3,8.666666666666666
20-c,glfnet_mlp,psd,recall,sub-004,3,8.666666666666666
20-c,glfnet_mlp,psd,recall,sub-005,3,8.0
20-c,glfnet_mlp,psd,recall,sub-006,3,10.0
20-c,glfnet_mlp,psd,recall,sub-007,3,6.0
20-c,glfnet_mlp,psd,recall,sub-008,3,8.0
20-c,glfnet_mlp,psd,recall,sub-009,3,7.333333333333333
20-c,glfnet_mlp,psd,recall,sub-010,3,5.333333333333333
20-c,glfnet_mlp,psd,recall,sub-011,3,7.333333333333333
20-c,glfnet_mlp,psd,recall,sub-012,3,7.333333333333333
20-c,glfnet_mlp,psd,recall,sub-013,3,6.666666666666667
20-c,glfnet_mlp,psd,recall,sub-014,3,11.333333333333334
20-c,glfnet_mlp,psd,recall,sub-015,3,5.333333333333333
20-c,glfnet_mlp,psd,recall,sub-016,3,8.0
20-c,glfnet_mlp,psd,recall,sub-017,3,10.0
20-c,glfnet_mlp,psd,recall,sub-018,3,8.0
20-c,glfnet_mlp,psd,recall,sub-019,3,7.333333333333333
20-c,glfnet_mlp,psd,recall,sub-020,3,6.666666666666667
20-c,glfnet_mlp,psd,watch,sub-001,3,8.0
20-c,glfnet_mlp,psd,watch,sub-002,3,6.666666666666667
20-c,glfnet_mlp,psd,watch,sub-003,3,8.0
20-c,glfnet_mlp,psd,watch,sub-004,3,8.0
20-c,glfnet_mlp,psd,watch,sub-005,3,7.333333333333333
20-c,glfnet_mlp,psd,watch,sub-006,3,4.666666666666667
20-c,glfnet_mlp,psd,watch,sub-007,3,7.333333333333333
20-c,glfnet_mlp,psd,watch,sub-008,3,10.0
20-c,glfnet_mlp,psd,watch,sub-009,3,11.333333333333334
20-c,glfnet_mlp,psd,watch,sub-010,3,10.0
20-c,glfnet_mlp,psd,watch,sub-011,3,12.666666666666666
20-c,glfnet_mlp,psd,watch,sub-012,3,8.0
20-c,glfnet_mlp,psd,watch,sub-013,3,9.333333333333334
20-c,glfnet_mlp,psd,watch,sub-014,3,8.666666666666666
20-c,glfnet_mlp,psd,watch,sub-015,3,10.666666666666666
20-c,glfnet_mlp,psd,watch,sub-016,3,7.333333333333333
20-c,glfnet_mlp,psd,watch,sub-017,3,10.666666666666666
20-c,glfnet_mlp,psd,watch,sub-018,3,10.666666666666666
20-c,glfnet_mlp,psd,watch,sub-019,3,9.333333333333334
20-c,glfnet_mlp,psd,watch,sub-020,3,7.333333333333333
20-c,mlpnet,de,recall,sub-001,3,8.0
20-c,mlpnet,de,recall,sub-002,3,10.0
20-c,mlpnet,de,recall,sub-003,3,9.333333333333334
20-c,mlpnet,de,recall,sub-004,3,8.666666666666666
20-c,mlpnet,de,recall,sub-005,3,10.666666666666666
20-c,mlpnet,de,recall,sub-006,3,10.666666666666666
20-c,mlpnet,de,recall,sub-007,3,8.666666666666666
20-c,mlpnet,de,recall,sub-008,3,8.666666666666666
20-c,mlpnet,de,recall,sub-009,3,11.333333333333334
20-c,mlpnet,de,recall,sub-010,3,12.666666666666666
20-c,mlpnet,de,recall,sub-011,3,10.0
20-c,mlpnet,de,recall,sub-012,3,10.0
20-c,mlpnet,de,recall,sub-013,3,9.333333333333334
20-c,mlpnet,de,recall,sub-014,3,10.0
20-c,mlpnet,de,recall,sub-015,3,10.666666666666666
20-c,mlpnet,de,recall,sub-016,3,9.333333333333334
20-c,mlpnet,de,recall,sub-017,3,9.333333333333334
20-c,mlpnet,de,recall,sub-018,3,10.0
20-c,mlpnet,de,recall,sub-019,3,10.666666666666666
20-c,mlpnet,de,recall,sub-020,3,12.0
20-c,mlpnet,de,watch,sub-001,3,10.0
20-c,mlpnet,de,watch,sub-002,3,10.666666666666666
20-c,mlpnet,de,watch,sub-003,3,8.666666666666666
20-c,mlpnet,de,watch,sub-004,3,13.333333333333334
20-c,mlpnet,de,watch,sub-005,3,9.333333333333334
20-c,mlpnet,de,watch,sub-006,3,8.666666666666666
20-c,mlpnet,de,watch,sub-007,3,10.666666666666666
20-c,mlpnet,de,watch,sub-008,3,10.666666666666666
20-c,mlpnet,de,watch,sub-009,3,10.666666666666666
20-c,mlpnet,de,watch,sub-010,3,11.333333333333334
20-c,mlpnet,de,watch,sub-011,3,14.0
20-c,mlpnet,de,watch,sub-012,3,10.666666666666666
20-c,mlpnet,de,watch,sub-013,3,9.333333333333334
20-c,mlpnet,de,watch,sub-014,3,9.333333333333334
20-c,mlpnet,de,watch,sub-015,3,12.0
20-c,mlpnet,de,watch,sub-016,3,9.333333333333334
20-c,mlpnet,de,watch,sub-017,3,13.333333333333334
20-c,mlpnet,de,watch,sub-018,3,9.333333333333334
20-c,mlpnet,de,watch,sub-019,3,14.0
20-c,mlpnet,de,watch,sub-020,3,12.0
20-c,mlpnet,psd,recall,sub-001,3,6.0
20-c,mlpnet,psd,recall,sub-002,3,8.0
20-c,mlpnet,psd,recall,sub-003,3,9.333333333333334
20-c,mlpnet,psd,recall,sub-004,3,10.0
20-c,mlpnet,psd,recall,sub-005,3,7.333333333333333
20-c,mlpnet,psd,recall,sub-006,3,6.666666666666667
20-c,mlpnet,psd,recall,sub-007,3,6.666666666666667
20-c,mlpnet,psd,recall,sub-008,3,11.333333333333334
20-c,mlpnet,psd,recall,sub-009,3,6.666666666666667
20-c,mlpnet,psd,recall,sub-010,3,6.0
20-c,mlpnet,psd,recall,sub-011,3,6.666666666666667
20-c,mlpnet,psd,recall,sub-012,3,7.333333333333333
20-c,mlpnet,psd,recall,sub-013,3,6.666666666666667
20-c,mlpnet,psd,recall,sub-014,3,7.333333333333333
20-c,mlpnet,psd,recall,sub-015,3,4.666666666666667
20-c,mlpnet,psd,recall,sub-016,3,6.0
20-c,mlpnet,psd,recall,sub-017,3,10.666666666666666
20-c,mlpnet,psd,recall,sub-018,3,7.333333333333333
20-c,mlpnet,psd,recall,sub-019,3,8.0
20-c,mlpnet,psd,recall,sub-020,3,6.666666666666667
20-c,mlpnet,psd,watch,sub-001,3,6.0
20-c,mlpnet,psd,watch,sub-002,3,4.666666666666667
20-c,mlpnet,psd,watch,sub-003,3,8.0
20-c,mlpnet,psd,watch,sub-004,3,6.666666666666667
20-c,mlpnet,psd,watch,sub-005,3,7.333333333333333
20-c,mlpnet,psd,watch,sub-006,3,7.333333333333333
20-c,mlpnet,psd,watch,sub-007,3,8.666666666666666
20-c,mlpnet,psd,watch,sub-008,3,8.0
20-c,mlpnet,psd,watch,sub-009,3,8.666666666666666
20-c,mlpnet,psd,watch,sub-010,3,8.666666666666666
20-c,mlpnet,psd,watch,sub-011,3,9.333333333333334
20-c,mlpnet,psd,watch,sub-012,3,8.666666666666666
20-c,mlpnet,psd,watch,sub-013,3,7.333333333333333
20-c,mlpnet,psd,watch,sub-014,3,8.0
20-c,mlpnet,psd,watch,sub-015,3,12.0
20-c,mlpnet,psd,watch,sub-016,3,7.333333333333333
20-c,mlpnet,psd,watch,sub-017,3,10.0
20-c,mlpnet,psd,watch,sub-018,3,9.333333333333334
20-c,mlpnet,psd,watch,sub-019,3,8.0
20-c,mlpnet,psd,watch,sub-020,3,8.666666666666666
20-c,shallownet,raw,recall,sub-001,3,6.666666666666667
20-c,shallownet,raw,recall,sub-002,3,10.666666666666666
20-c,shallownet,raw,recall,sub-003,3,11.333333333333334
20-c,shallownet,raw,recall,sub-004,3,12.0
20-c,shallownet,raw,recall,sub-005,3,10.0
20-c,shallownet,raw,recall,sub-006,3,8.0
20-c,shallownet,raw,recall,sub-007,3,10.0
20-c,shallownet,raw,recall,sub-008,3,8.0
20-c,shallownet,raw,recall,sub-009,3,8.666666666666666
20-c,shallownet,raw,recall,sub-010,3,8.666666666666666
20-c,shallownet,raw,recall,sub-011,3,10.666666666666666
20-c,shallownet,raw,recall,sub-012,3,10.666666666666666
20-c,shallownet,raw,recall,sub-013,3,10.0
20-c,shallownet,raw,recall,sub-014,3,10.666666666666666
20-c,shallownet,raw,recall,sub-015,3,8.0
20-c,shallownet,raw,recall,sub-016,3,8.0
20-c,shallownet,raw,recall,sub-017,3,12.666666666666666
20-c,shallownet,raw,recall,sub-018,3,8.0
20-c,shallownet,raw,recall,sub-019,3,8.0
20-c,shallownet,raw,recall,sub-020,3,7.333333333333333
20-c,shallownet,raw,watch,sub-001,3,11.333333333333334
20-c,shallownet,raw,watch,sub-002,3,9.333333333333334
20-c,shallownet,raw,watch,sub-003,3,10.0
20-c,shallownet,raw,watch,sub-004,3,12.0
20-c,shallownet,raw,watch,sub-005,3,8.0
20-c,shallownet,raw,watch,sub-006,3,14.666666666666666
20-c,shallownet,raw,watch,sub-007,3,10.0
20-c,shallownet,raw,watch,sub-008,3,8.666666666666666
20-c,shallownet,raw,watch,sub-009,3,9.333333333333334
20-c,shallownet,raw,watch,sub-010,3,9.333333333333334
20-c,shallownet,raw,watch,sub-011,3,10.0
20-c,shallownet,raw,watch,sub-012,3,12.0
20-c,shallownet,raw,watch,sub-013,3,10.666666666666666
20-c,shallownet,raw,watch,sub-014,3,9.333333333333334
20-c,shallownet,raw,watch,sub-015,3,9.333333333333334
20-c,shallownet,raw,watch,sub-016,3,11.333333333333334
20-c,shallownet,raw,watch,sub-017,3,12.666666666666666
20-c,shallownet,raw,watch,sub-018,3,8.666666666666666
20-c,shallownet,raw,watch,sub-019,3,12.666666666666666
20-c,shallownet,raw,watch,sub-020,3,10.666666666666666
20-c,svm,raw,recall,sub-001,3,1.3333333333333333
20-c,svm,raw,recall,sub-002,3,4.666666666666667
20-c,svm,raw,recall,sub-003,3,2.6666666666666665
20-c,svm,raw,recall,sub-004,3,4.666666666666667
20-c,svm,raw,recall,sub-005,3,4.0
20-c,svm,raw,recall,sub-006,3,4.666666666666667
20-c,svm,raw,recall,sub-007,3,3.3333333333333335
20-c,svm,raw,recall,sub-008,3,2.0
20-c,svm,raw,recall,sub-009,3,2.0
20-c,svm,raw,recall,sub-010,3,3.3333333333333335
20-c,svm,raw,recall,sub-011,3,6.666666666666667
20-c,svm,raw,recall,sub-012,3,4.666666666666667
20-c,svm,raw,recall,sub-013,3,4.0
20-c,svm,raw,recall,sub-014,3,4.666666666666667
20-c,svm,raw,recall,sub-015,3,2.6666666666666665
20-c,svm,raw,recall,sub-016,3,6.666666666666667
20-c,svm,raw,recall,sub-017,3,2.6666666666666665
20-c,svm,raw,recall,sub-018,3,4.0
20-c,svm,raw,recall,sub-019,3,3.3333333333333335
20-c,svm,raw,recall,sub-020,3,4.666666666666667
20-c,svm,raw,watch,sub-001,3,2.0
20-c,svm,raw,watch,sub-002,3,3.3333333333333335
20-c,svm,raw,watch,sub-003,3,3.3333333333333335
20-c,svm,raw,watch,sub-004,3,3.3333333333333335
20-c,svm,raw,watch,sub-005,3,2.0
20-c,svm,raw,watch,sub-006,3,7.333333333333333
20-c,svm,raw,watch,sub-007,3,6.666666666666667
20-c,svm,raw,watch,sub-008,3,4.666666666666667
20-c,svm,raw,watch,sub-009,3,2.6666666666666665
20-c,svm,raw,watch,sub-010,3,5.333333333333333
20-c,svm,raw,watch,sub-011,3,4.666666666666667
20-c,svm,raw,watch,sub-012,3,4.0
20-c,svm,raw,watch,sub-013,3,6.0
20-c,svm,raw,watch,sub-014,3,4.0
20-c,svm,raw,watch,sub-015,3,3.3333333333333335
20-c,svm,raw,watch,sub-016,3,4.0
20-c,svm,raw,watch,sub-017,3,3.3333333333333335
20-c,svm,raw,watch,sub-018,3,2.0
20-c,svm,raw,watch,sub-019,3,5.333333333333333
20-c,svm,raw,watch,sub-020,3,7.333333333333333
20-c,tsconv,raw,recall,sub-001,3,7.333333333333333
20-c,tsconv,raw,recall,sub-002,3,9.333333333333334
20-c,tsconv,raw,recall,sub-003,3,8.666666666666666
20-c,tsconv,raw,recall,sub-004,3,6.666666666666667
20-c,tsconv,raw,recall,sub-005,3,6.666666666666667
20-c,tsconv,raw,recall,sub-006,3,8.0
20-c,tsconv,raw,recall,sub-007,3,10.666666666666666
20-c,tsconv,raw,recall,sub-008,3,9.333333333333334
20-c,tsconv,raw,recall,sub-009,3,9.333333333333334
20-c,tsconv,raw,recall,sub-010,3,9.333333333333334
20-c,tsconv,raw,recall,sub-011,3,10.0
20-c,tsconv,raw,recall,sub-012,3,9.333333333333334
20-c,tsconv,raw,recall,sub-013,3,8.0
20-c,tsconv,raw,recall,sub-014,3,11.333333333333334
20-c,tsconv,raw,recall,sub-015,3,10.0
20-c,tsconv,raw,recall,sub-016,3,9.333333333333334
20-c,tsconv,raw,recall,sub-017,3,8.666666666666666
20-c,tsconv,raw,recall,sub-018,3,8.666666666666666
20-c,tsconv,raw,recall,sub-019,3,10.666666666666666
20-c,tsconv,raw,recall,sub-020,3,13.333333333333334
20-c,tsconv,raw,watch,sub-001,3,9.333333333333334
20-c,tsconv,raw,watch,sub-002,3,9.333333333333334
20-c,tsconv,raw,watch,sub-003,3,10.666666666666666
20-c,tsconv,raw,watch,sub-004,3,13.333333333333334
20-c,tsconv,raw,watch,sub-005,3,7.333333333333333
20-c,tsconv,raw,watch,sub-006,3,10.0
20-c,tsconv,raw,watch,sub-007,3,12.666666666666666
20-c,tsconv,raw,watch,sub-008,3,8.666666666666666
20-c,tsconv,raw,watch,sub-009,3,12.666666666666666
20-c,tsconv,raw,watch,sub-010,3,8.666666666666666
20-c,tsconv,raw,watch,sub-011,3,10.666666666666666
20-c,tsconv,raw,watch,sub-012,3,10.0
20-c,tsconv,raw,watch,sub-013,3,9.333333333333334
